08:15;494_song1;4;AV
08:17;494_headmovement1;2;AV
08:19;494_call1;2;AV
08:21;494_headmovement2;4;AV
08:23;494_song2;2;AV
08:25;494_call2;4;AV
08:27;494_song1;2;AV
08:30;494_headmovement1;3;AV
08:31;494_headmovement2;2;AV
08:32;494_song3;2;AV
08:34;494_call2;3;AV
08:36;494_headmovement2;2;AV
08:38;494_song3;4;AV
08:41;494_headmovement1;3;AV
08:43;494_call1;1;AV
08:44;494_song2;2;AV
09:15;494_call1;4;AV
09:17;494_song1;3;AV
09:20;494_headmovement1;3;AV
09:23;494_call1;2;AV
09:26;494_song1;3;AV
09:29;494_headmovement2;4;AV
09:32;494_song3;2;AV
09:34;494_call2;3;AV
09:36;494_song2;2;AV
09:38;494_call2;3;AV
09:40;494_song2;3;AV
09:42;494_headmovement1;2;AV
09:43;494_song1;3;AV
10:15;494_song3;4;AV
10:16;494_song2;1;AV
10:20;494_call2;2;AV
10:22;494_headmovement2;4;AV
10:25;494_call2;5;AV
10:27;494_song3;3;AV
10:30;494_headmovement1;2;AV
10:32;494_call1;1;AV
10:33;494_headmovement1;2;AV
10:35;494_song1;4;AV
10:37;494_call1;5;AV
10:40;494_headmovement1;2;AV
10:42;494_song2;4;AV
10:44;494_call2;2;AV
12:15;494_headmovement2;3;AV
12:16;494_headmovement1;2;AV
12:19;494_call2;1;AV
12:20;494_song3;2;AV
12:23;494_headmovement1;4;AV
12:26;494_song3;3;AV
12:28;494_call2;3;AV
12:32;494_call1;4;AV
12:35;494_headmovement2;3;AV
12:38;494_song2;2;AV
12:40;494_headmovement1;4;AV
12:43;494_call1;2;AV
14:15;494_song1;3;AV
14:16;494_song2;2;AV
14:20;494_call2;3;AV
14:23;494_headmovement2;4;AV
14:26;494_call1;1;AV
14:27;494_headmovement1;2;AV
14:30;494_song3;2;AV
14:34;494_call2;4;AV
14:36;494_headmovement1;1;AV
14:37;494_call1;3;AV
14:40;494_call2;2;AV
14:43;494_headmovement2;3;AV
16:15;494_headmovement2;3;AV
16:17;494_headmovement1;2;AV
16:19;494_call1;5;AV
16:22;494_song2;3;AV
16:25;494_call2;5;AV
16:30;494_song1;2;AV
16:33;494_headmovement1;2;AV
16:36;494_song3;2;AV
16:38;494_call1;1;AV
16:40;494_call2;4;AV
16:43;494_headmovement1;2;AV
16:44;494_headmovement2;1;AV
